question	optionA	optionB	optionC	optionD	answer	explanation
根據台灣《人工智慧基本法》，AI政策統籌或戰略委員會的幕僚單位是哪一個機關？	國家發展委員會	國家科學及技術委員會（國科會）	數位發展部	經濟部	B	在《人工智慧基本法》架構中，中央主管機關與 AI 戰略幕僚單位其實是「國家科學及技術委員會（國科會）」，而非許多人直覺認為的數位發展部。
在法規框架中，下列哪一種系統通常「不被」視為人工智慧（AI）？	具備自主運行能力的系統	透過機器學習產生預測的系統	僅依固定規則執行決策的傳統規則式軟體（Rule-based system）	透過演算法運作並產生內容的系統	C	在法規框架中，AI需要具備自主運行能力並透過演算法或機器學習運作，因此傳統規則式軟體通常不被視為 AI。
醫療或金融場景導入AI時，強調「AI不可完全取代人類決策，必須保留人類最終決策權」。這符合AI基本法七大原則中的哪一個核心概念？	Human-in-the-loop	RAG（檢索增強生成）	資料最小化	零樣本提示（Zero-shot）	A	七大基本原則中的「人類自主」強調 Human-in-the-loop 概念，意即人機協作中 AI 不可完全取代人類，必須保留人類最終決策權與監督權。
某政府機關欲導入AI系統，在前期評估時考量到「人員抗拒與流程調整」的問題。請問這屬於AI導入評估的哪一個面向？	技術面向	效益面向	法規面向	組織面向	D	根據《公部門人工智慧應用參考手冊》，導入AI前必須評估「技術、法規、組織、效益」四大面向（技法組效），評估人員抗拒與流程調整屬於「組織面向」。
導入生成式AI時，為避免「資料外洩」的最大風險，處理個人識別資訊（PII）與敏感資料的最重要原則是什麼？	將資料完整備份至雲端	確保資料最小化與去識別化	使用最高解析度的資料進行訓練	將所有資料傳送至國外模型運算	B	導入AI時必須處理個人識別資訊（PII）與敏感資料，其重要原則為「資料最小化＋去識別化」，切勿將完整個資直接丟給AI模型。
關於AI生成內容（如圖片、文章、設計）的著作權與使用規範，官方《公部門人工智慧應用參考手冊》建議的最佳做法為何？	人類必須做最後覆核並負責任，生成結果不能直接使用	AI生成的內容具備完整的著作權，可直接作為原創作品	只要使用付費版AI模型，生成的內容便無版權爭議	企業應完全禁止使用AI生成任何內容	A	AI生成的圖片、文章等可能涉及訓練資料的版權風險，因此官方建議人類必須做最後覆核與負責任，AI 生成結果不能直接使用。
企業為了避免法規風險及商業機密外流問題，選擇使用台灣開發的「TAIDE可信任AI對話引擎」。此舉最主要呼應了下列哪一個政策概念？	Prompt Engineering（提示工程）	幻覺（Hallucination）	在地AI模型與資料主權	多模態學習（Multimodal AI）	C	企業資料若全送國外模型可能會產生法規與機密風險，政策鼓勵使用TAIDE等台灣模型，以確保「資料主權」與實踐AI在地化。
在生成式AI應用中，若欲降低AI胡說八道的「幻覺（Hallucination）」問題，讓AI「查資料比對後再回答」，應採用哪一種技術架構？	RAG（檢索增強生成）	PII（個人識別資訊）	APE（自動提示工程）	特徵工程	A	RAG（檢索增強生成）的核心概念就是讓 AI 查閱資料比對後再回答，其主要目的即為降低「幻覺（Hallucination）」。
根據評鑑範圍更新，AI技術納入多代理協作、自主任務規劃與API調用等能力，這是在描述哪一種系統？	傳統規則式軟體	AI Agent 系統	視覺化圖表系統	資料庫管理系統	B	最新考綱開始納入 AI Agent（AI 代理人）系統，包含多代理協作、API 調用、自主任務規劃、A2A 與 MCP 等進階技術。
關於 No Code 與 Low Code 的基本概念，以下哪一項最為正確？	No Code 平台完全不需要任何技術知識，Low Code 平台僅適合專業開發者使用	No Code 平台主要依靠圖形化介面（UI）進行開發，而 Low Code 平台結合了簡單程式設計與視覺化工具	No Code 與 Low Code 平台主要針對傳統 IT 團隊而設計	Low Code 平台完全不需要程式設計知識	B	No Code 平台主要依靠全視覺化介面供非技術人員使用。Low Code 則以視覺化為主，並保留加入少量程式碼以增加客製化的彈性。
下列哪種情況，選擇 Low Code 平台可能比 No Code 平台更為適合？	需要非技術人員快速進行開發與應用	應用需求簡單，無需自訂功能	需要較複雜的業務邏輯並使用自訂整合功能	預算和時間極度有限	C	No Code 適合簡單應用、表單系統與快速原型設計。若需求涉及複雜業務邏輯、需要串接企業系統或進行客製化整合，選擇 Low Code 平台會更為適合。
某設計團隊計畫在短時間內完成一款行動應用程式，必須同時達到高度個人化體驗、快速生成介面與行銷內容自動產出等需求。若結合 No Code / Low Code 平台與生成式 AI 技術，以下哪一種整合策略最能符合目標？	使用生成式 AI 自動產生 API 呼叫與元件配置，並由開發者手動整合	透過生成式 AI 在 No Code 平台中自動建立介面模板，並結合使用者數據即時生成個人化功能與行銷推播內容	在 No Code 平台中建立跨專案可重用的通用模組	在 No Code 平台中完全依賴生成式 AI 自動產生所有應用功能與流程，不經人工設計或驗證	B	透過生成式 AI 在 No Code 平台中建立介面，並結合數據即時生成內容，能同時滿足快速介面、個人化與內容生成三大需求。AI 雖然可以加速開發，但所有生成的內容仍必須保留人工驗證流程，不可完全依賴 AI。
使用 Low Code 平台進行開發時，企業應特別留意下列哪一項潛在風險？	可能造成企業內部敏感資料的洩露	難以進行大規模的應用擴展和維護	開發成本將大幅增加	可能有未經 IT 部門管理的應用程式擴散	D	由於開發門檻降低，各部門容易自行開發工具，若缺乏妥善治理，就會產生未經 IT 部門管控的「影子 IT（Shadow IT）」風險，進而導致管理混亂與資安漏洞。
指沒有受過正規程式設計訓練的業務人員（如行政、行銷、人資等），利用 No Code / Low Code 工具來開發應用程式解決自身工作問題。這類人員被稱為什麼？	專業工程師（Professional Developer）	市民開發者（Citizen Developer）	資料分析人員（Data Analyst）	影子 IT（Shadow IT）	B	市民開發者（Citizen Developer）是指沒有受過正規程式設計訓練的非技術背景業務人員，他們能利用 No Code 或 Low Code 工具開發應用程式，以解決自身工作上的問題。
當生成式 AI 結合 No Code / Low Code 平台時，下列哪一項不是建議的正確觀念或做法？	利用 AI 根據產品資訊自動產出活動文案或 FAQ	讓 AI 協助產生版面配置、元件安排與介面文案的設計建議	將高風險、需高度專業判斷且不能容錯的決策情境完全交由 AI 處理	用自然語言描述需求，讓 AI 自動生成程式碼雛形來加速開發	C	AI 是開發流程中的加速器，適合用來產出文案、介面草稿或簡單程式碼。但不適合用於高風險、需高度專業判斷且不能容錯的決策情境，因為 AI 存在產生幻覺的風險。
企業在評估導入 No Code / Low Code 平台時，不能只看初期的購買價格，還必須一併考量導入、培訓、維護、升級與跨系統整合等費用。這主要是考量下列哪一項指標？	影子 IT（Shadow IT）	最小可行產品（MVP）	總擁有成本（TCO）	平台綁定（Vendor lock-in）	C	評估平台時必須考量總擁有成本（TCO, Total Cost of Ownership）。便宜買進不代表長期成本真的便宜，後續的維護、培訓與整合等成本皆應一併納入評估。
傳統 AI 與生成式 AI 的主要區別為何？	傳統 AI 偏向創作與重組，生成式 AI 偏向分類與預測	傳統 AI 偏向分類與預測，生成式 AI 偏向創作與內容生成	兩者皆僅能處理文字資料	兩者底層架構完全相同	B	傳統 AI 的核心偏向分類、辨識與預測，而生成式 AI 則偏向創作、生成與重組內容。
下列哪一種模型架構以「偽造者與鑑識官互相對打」為核心概念，常見於早期影像生成領域？	VAE	Transformer	Diffusion Model（擴散模型）	GAN	D	GAN（生成對抗網路）的核心概念是讓偽造者與鑑識官互相對打，越生成越像真的，常見於早期影像生成架構。
在資料處理的三個步驟中，將句子切分成模型可處理的小單位（例如字、詞、子詞）的過程稱為什麼？	資料清洗	向量化 (Vectorization)	標記化 (Tokenization)	模型微調	C	資料處理的三大步驟中，「標記化 (Tokenization)」是指把句子切成模型可處理的小單位。
若要使用 AI 撰寫法規摘要或標準作業流程（SOP），希望能得到穩定且一致的內容，Temperature（溫度）參數應如何設定？	設定為較低溫（如 0.2 左右）	設定為較高溫（如 1.0 左右）	設定為隨機值	參數不會影響輸出結果	A	Temperature 參數決定 AI 輸出的個性，低溫（如 0.2 左右）會讓輸出更穩定、保守且具一致性，非常適合法規摘要、SOP 或寫程式等正式任務。
當遇到需要多步驟判斷的數學或邏輯題時，在提示詞中加入「請逐步列出解題過程，最後再給答案」，這是使用了哪種提示工程技術？	Zero-shot	Few-shot	RAG (檢索增強生成)	CoT (思維鏈)	D	Chain-of-Thought（CoT，思維鏈）要求 AI 先列出推理步驟再產生答案，當題目要求「逐步推理」或「列出解題步驟」時通常就是應用此技術。
關於 RAG 與 MCP 兩種技術架構的差異，下列敘述何者最為正確？	RAG 偏向串接外部工具，MCP 偏向檢索內部文件	RAG 與 MCP 的功能完全相同	RAG 偏向先尋找資料再回答，MCP 偏向連接工具或 API 去執行任務	MCP 僅能處理圖像生成資料	C	RAG 的核心是「開書找答案」，先檢索文件找資料再回答；而 MCP（Model Context Protocol）則像統一規格的插頭，偏向「叫工具出手」，連接工具或 API 去執行任務。
當 AI 看似非常有自信地給出一段內容，但實際上是錯誤、捏造的法規條文或不存在的參考文獻，這種現象稱為什麼？	領域偏移 (Domain Shift)	圖提示 (Graph Prompting)	AI 幻覺 (AI Hallucinations)	解決方案圖譜 (Solution Graph)	C	AI 幻覺（AI Hallucinations）是指 AI 講出看似合理但其實錯誤或不存在的內容，例如一本正經地編造法規或捏造公司資料。
若模型學到的資料情境與實際任務的情境差異過大，導致模型表現失準（例如只練過一種題型，換題就翻車），這屬於下列哪種問題？	領域偏移 (Domain Shift)	缺乏標記化 (Tokenization)	溫度設定過低	缺乏 RAG 檢索機制	A	領域偏移（Domain Shift）是指模型學到的資料情境與目前實際任務的情境不同，導致表現失準，常見原因包括範例太少或過度單一。
AI 系統導入流程通常包含四個階段，若某企業正在進行「小規模部署測試，以證明系統可行並初步估算 ROI」，這屬於哪一個階段？	評估	設計	驗證（POC）	營運	C	概念驗證（POC）階段的目的在於先證明可行、可用、值得，會透過小規模部署測試來驗證準確性與公平性，並初步估算 ROI。
企業在訓練 AI 模型時，發現高解析影像存放在 NAS 上，且 GPU 使用率僅有 20–30%，這最可能的原因是什麼？	GPU 算力不足	I/O 瓶頸，GPU 在等待資料傳輸	模型過度擬合（Overfitting）	批次大小設定過大	B	看到「GPU 在等資料」應先想到 I/O 瓶頸，若高解析資料放在傳輸較慢的 NAS 上，資料餵不進去就會導致 GPU 閒置等待。
若公司希望建立一個內部文件助理，要求「保持固定的專業回覆語氣」，且能「即時查詢每日新增的文件」，最適合採取哪一種技術策略？	僅依賴基礎模型直接回答	僅使用微調（Fine-tuning）	每日對模型進行增量微調	混合策略：語氣用微調，文件更新靠 RAG	D	處理每日更新的最新文件適合使用 RAG（檢索增強生成），而固定語氣與風格則適合使用 Fine-tuning（微調），混合策略最能符合長期維護的需求。
企業將資料安全與部分 AI 維運工作外包給第三方供應商，或透過簽署 SLA 與購買保險來因應風險。這屬於風險管理矩陣中的哪一種策略？	規避	緩解	接受	轉移	D	透過委外供應商、購買保險、簽署合約與 SLA 來讓第三方分擔風險，在風險管理矩陣中屬於「轉移」策略。
模型上線一段時間後，發現實際運作效能下降，經查是因為「現實世界的資料型態改變，導致訓練資料分布與上線後資料分布不同」。這種現象稱為什麼？	知識蒸餾（Knowledge Distillation）	數據漂移（Data Drift）	上下文工程（Context Engineering）	文本切分（Chunking）	B	數據漂移（Data Drift）指的是訓練資料分布與上線後資料分布改變，導致模型表現下降，需要留意監控並在必要時重新訓練。
企業在使用外部第三方 AI 模型的 API 時，為了避免敏感資料被模型開發商留存或再利用，應優先採取哪一種做法？	視覺化原始數據再傳輸	完全禁止使用外部 API，僅依賴本地部署	啟用 Zero-Retention 或企業資安 API	將文字轉換為向量即可避免隱私問題	C	使用外部 API 時，隱私防護的核心是確保資料「不留存、不再利用」，因此應優先啟用 Zero-Retention 或企業資安 API。
在 AI 模型優化技術中，讓較小的模型去學習大型模型的預測能力，以達到「降低運算成本同時保留大部分效果」的目的。此技術稱為什麼？	知識蒸餾（Knowledge Distillation）	文本切分（Chunking）	數據漂移（Data Drift）	任務規劃（Task Planner）	A	知識蒸餾（Knowledge Distillation）是指讓小模型學大模型，就像學霸幫忙整理重點一樣，藉此降低成本並保留模型效果。
為了讓「AI 代理人（Agentic AI）」能夠真正自主執行任務並解決問題，通常必須具備哪些核心機制？	僅需具備文本切分能力	僅需具備防護欄（Guardrails）限制能力	需具備大量知識蒸餾與硬體虛擬化能力	需具備任務規劃（Task Planner）、API 調用與工具使用能力	D	要讓 AI 代理人真正做事，通常需要具備 Task Planner、API Calling、工具使用能力以及回傳與追蹤機制。
機器學習中的監督式學習主要依賴什麼來進行訓練？	無標註資料	有標註資料	隨機生成的數據	噪音資料	B	監督式學習需要有標註的資料作為訓練依據，模型才能學習輸入與輸出之間的對應關係。
在人工智慧應用中，混淆矩陣的主要用途是？	測量模型的可解釋性	衡量分類模型的預測結果	調整超參數	測量訓練時間	B	混淆矩陣可以顯示模型在分類任務中，各類別的正確與錯誤預測數量，用來分析模型表現。
下列哪項不是人工智慧的應用領域？	自然語言處理	電腦視覺	數據庫管理系統開發	機器人學	C	數據庫管理系統開發屬於軟體工程範疇，而非AI的直接應用領域。
AI治理概念中，下列哪項是確保AI系統公平性的重要考量？	僅使用單一來源的數據	避免使用開源AI模型	消除數據中的偏見	限制AI模型的複雜度	C	消除數據中的偏見是確保AI系統公平性的關鍵步驟，以避免歧視性結果。
資料處理流程中的「資料清洗」主要目的是什麼？	增加資料量	移除或修正不正確、不完整或不一致的資料	改變資料格式	壓縮資料大小	B	資料清洗旨在提高資料品質，確保其準確性和一致性，為後續分析做準備。
下列哪種機器學習算法屬於非監督式學習？	決策樹	支持向量機 (SVM)	K-Means 聚類	邏輯迴歸	C	K-Means聚類是一種非監督式學習算法，用於將數據點分組到不同的簇中，無需預先標註的答案。
鑑別式AI與生成式AI的主要區別在於？	鑑別式AI用於生成新內容，生成式AI用於分類	鑑別式AI用於分類或預測，生成式AI用於生成新內容	兩者沒有區別	鑑別式AI僅限於圖像處理，生成式AI僅限於文本生成	B	鑑別式AI模型學習區分不同類別，而生成式AI模型則學習生成與訓練數據相似的新數據。
No Code/Low Code開發平台的主要優勢是什麼？	只能由專業程式設計師使用	降低開發門檻，加速應用部署	限制AI模型的複雜度	只能用於簡單的數據分析	B	No Code/Low Code平台透過視覺化介面和預建模組，讓非專業開發者也能快速構建應用，加速AI解決方案的部署。
在生成式AI應用中，下列哪項工具常用於文本生成？	TensorFlow	PyTorch	GPT-3 (或類似大型語言模型)	Scikit-learn	C	GPT-3等大型語言模型是目前文本生成領域的領先工具，能夠生成連貫且有意義的文本。
導入生成式AI時，進行「風險管理」的主要考量是什麼？	確保模型訓練速度	評估潛在的倫理、隱私和安全問題	選擇最便宜的AI工具	忽略數據偏見	B	生成式AI的風險管理包括評估其在倫理、隱私、安全、偏見等方面的潛在問題，以確保負責任的部署。
下列哪項是AI治理概念的核心目標之一？	促進AI技術的無限發展	確保AI系統的透明度、公平性和可解釋性	限制AI技術的應用範圍	僅由政府機構控制AI發展	B	AI治理旨在建立一套框架，確保AI系統的開發和使用符合倫理原則，並具備透明度、公平性和可解釋性。
在資料處理與分析中，「資料隱私」主要關注的是什麼？	資料儲存的物理位置	保護個人敏感資訊不被未經授權的訪問或濫用	資料備份的頻率	資料庫的性能優化	B	資料隱私的核心是保護個人敏感資訊，防止其在未經授權的情況下被洩露、訪問或不當使用。
機器學習中的「過擬合」（Overfitting）現象是指？	模型在訓練數據上表現良好，但在新數據上表現不佳	模型在訓練數據和新數據上都表現良好	模型在訓練數據上表現不佳，但在新數據上表現良好	模型過於簡單，無法捕捉數據中的模式	A	過擬合發生在模型過度學習訓練數據的細節和噪音，導致其泛化能力差，在新數據上表現不佳。
下列哪種AI應用最適合使用生成式AI技術？	股票價格預測	垃圾郵件分類	創作藝術作品	醫療影像診斷	C	生成式AI擅長創造新的、獨特的內容，如藝術作品、音樂或文本，而其他選項更適合鑑別式AI。
Low Code開發平台相較於傳統程式碼開發，其主要優勢不包括？	更快的開發速度	降低技術門檻	更高的客製化彈性	減少手動編碼錯誤	C	Low Code平台雖然加速開發，但其客製化彈性通常不如傳統手動編碼，因為它依賴預建模組和視覺化介面。
下列哪項不是生成式AI工具的常見應用領域？	文本摘要	圖像生成	語音識別	程式碼生成	C	語音識別主要屬於鑑別式AI的範疇，用於將語音轉換為文本，而非生成新內容。
在生成式AI導入評估中，下列哪項是評估模型性能的關鍵指標？	模型訓練時間	模型部署成本	生成內容的品質與相關性	開發團隊規模	C	評估生成式AI模型性能的關鍵在於其生成內容的品質、原創性、相關性以及是否符合預期目標。
AI的定義中，通常不包含下列哪項特徵？	模擬人類智慧	學習能力	固定且無法改變的程式邏輯	推理和解決問題的能力	C	AI系統通常具備學習和適應能力，其程式邏輯並非固定不變，而是可以透過訓練和優化來改進。
資料來源中，下列哪種數據類型通常被認為是「非結構化數據」？	關聯式數據庫中的表格數據	電子郵件和社交媒體貼文	電子表格中的數值數據	CSV文件中的文本數據	B	非結構化數據不遵循預定義的數據模型或格式，如文本、圖像、音頻和視頻，電子郵件和社交媒體貼文是典型例子。
機器學習基本原理中，「特徵工程」的主要作用是什麼？	選擇最佳的機器學習算法	從原始數據中提取、轉換和選擇有助於模型學習的特徵	調整模型的超參數	評估模型的性能	B	特徵工程是將原始數據轉換為模型能更好理解和利用的特徵的過程，對模型性能至關重要。
下列哪項是鑑別式AI的典型應用？	創作一首新歌	預測股票市場走勢	生成逼真的人臉圖像	撰寫新聞報導	B	預測股票市場走勢是典型的分類或迴歸問題，屬於鑑別式AI的應用範疇。
No Code/Low Code的「限制」之一是？	只能處理大量數據	對於高度客製化或複雜的應用場景可能不適用	只能在雲端環境中運行	學習曲線陡峭	B	No Code/Low Code平台雖然易於使用，但其預設模組和功能可能無法滿足所有高度客製化或複雜的應用需求。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	結合人類專業知識進行審核和修正	僅用於娛樂目的	避免與其他工具結合使用	B	善用生成式AI工具需要結合人類的判斷力、專業知識和創造力，對AI生成的內容進行審核、修正和優化。
生成式AI導入規劃中，下列哪項是首要步驟？	直接部署到生產環境	進行需求確認與目標設定	忽略成本考量	僅關注技術可行性	B	任何專案的導入，包括生成式AI，都應從明確的需求確認和目標設定開始，以確保方向正確。
AI的「分類」中，下列哪項是基於學習方式的分類？	弱AI與強AI	符號主義AI與連接主義AI	監督式學習與非監督式學習	規則型AI與統計型AI	C	監督式學習和非監督式學習是機器學習中兩種主要的學習方式，也是AI的重要分類維度。
資料整理與分析流程中，下列哪項步驟通常在資料清洗之後進行？	資料收集	資料視覺化	資料儲存	資料輸入	B	資料清洗後，資料品質得到提升，接著通常會進行資料視覺化，以發現模式、趨勢和異常。
常見的機器學習模型中，下列哪種模型主要用於處理序列數據，如文本或時間序列？	決策樹	卷積神經網絡 (CNN)	循環神經網絡 (RNN)	K-Means 聚類	C	循環神經網絡（RNN）及其變體（如LSTM、GRU）特別擅長處理具有時間依賴性的序列數據。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	僅使用鑑別式AI進行圖像生成	使用生成式AI生成文本，再由鑑別式AI進行情感分析	兩者獨立運行，互不影響	僅使用生成式AI進行分類任務	B	整合應用可以發揮兩者優勢，例如生成式AI創造內容，鑑別式AI對其進行分析或評估。
下列哪項是No Code/Low Code平台在「優勢」方面的描述？	需要深厚的程式設計知識	允許快速原型開發和迭代	只能處理小規模數據	部署過程複雜	B	No Code/Low Code平台透過簡化開發流程，使得快速原型開發和應用迭代成為可能。
生成式AI應用領域中，下列哪項不屬於其常見應用？	虛擬助理的對話生成	詐騙交易檢測	藥物分子設計	遊戲內容生成	B	詐騙交易檢測通常是分類問題，屬於鑑別式AI的範疇，用於識別異常模式。
生成式AI風險管理中，下列哪項是關於「偏見」的考量？	確保模型訓練數據量足夠大	識別並減輕模型在生成內容中可能存在的偏見	僅使用單一來源的數據	忽略模型輸出中的不公平性	B	生成式AI可能從訓練數據中繼承偏見，因此風險管理需要識別並減輕這些偏見，以確保公平性。
下列哪項是「強AI」（Strong AI）的定義？	只能執行特定任務的AI系統	能夠理解、學習並應用智慧於任何智力任務的AI系統	僅限於遊戲領域的AI	只能進行數據分析的AI	B	強AI（或通用人工智慧AGI）指的是具備人類級別或超越人類智慧，能夠執行任何智力任務的AI系統。
資料基本概念中，「大數據」的「3V」特性不包括？	數量 (Volume)	速度 (Velocity)	價值 (Value)	視覺化 (Visualization)	D	大數據的3V通常指數量（Volume）、速度（Velocity）和多樣性（Variety），價值（Value）是後續衍生的概念，視覺化（Visualization）是處理大數據的方法之一。
機器學習中，「回歸」（Regression）問題的主要目標是？	將數據點分組到不同的類別	預測連續的數值輸出	識別圖像中的物體	生成新的數據樣本	B	回歸問題旨在預測一個連續的數值，例如房價、氣溫或銷售額。
下列哪項是生成式AI在「隱私」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能無意中洩露訓練數據中的敏感資訊	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI在生成新內容時，可能無意中重現或洩露其訓練數據中的敏感或個人資訊，構成隱私風險。
No Code/Low Code平台在AI解決方案設計與測試中的作用是什麼？	增加開發複雜度	提供視覺化介面和預建模組，簡化AI應用的設計、開發和測試	限制AI模型的選擇	只能用於部署，不能用於設計	B	No Code/Low Code平台透過其直觀的介面和預建功能，極大地簡化了AI解決方案的設計、開發和測試過程。
如何善用生成式AI工具，下列哪項是錯誤的觀念？	將AI視為輔助工具	鼓勵AI進行獨立思考和決策	進行多輪迭代和優化	了解AI工具的局限性	B	生成式AI是工具，應由人類引導和控制，不應鼓勵其獨立思考和決策，尤其是在關鍵應用中。
生成式AI導入規劃中，「資源分配」主要考量哪些方面？	僅考量人力資源	考量計算資源、數據資源、人力資源和時間預算	僅考量時間預算	僅考量數據資源	B	生成式AI導入需要綜合考量多種資源，包括計算能力、數據儲存、專業人才和專案時間表。
AI治理概念中，「可解釋性」（Explainability）的重要性體現在？	讓AI模型更難以理解	幫助人類理解AI模型的決策過程和結果	增加AI模型的訓練時間	降低AI模型的準確性	B	可解釋性使AI模型的內部運作和決策邏輯對人類透明，有助於建立信任、識別偏見和進行故障排除。
資料清洗的常見技術不包括？	處理缺失值	處理異常值	數據加密	處理重複數據	C	數據加密是資料安全的一部分，而非資料清洗的常見技術。資料清洗主要關注數據的完整性、準確性和一致性。
機器學習中，「分類」（Classification）問題的主要目標是？	預測連續的數值輸出	將數據點分配到預定義的離散類別	減少數據的維度	發現數據中的隱藏模式	B	分類問題旨在將輸入數據歸類到預先定義的離散類別中的一個，例如判斷郵件是否為垃圾郵件。
鑑別式AI與生成式AI的「基本原理」差異中，下列哪項描述是正確的？	鑑別式AI學習數據的分佈，生成式AI學習數據的邊界	鑑別式AI學習數據的邊界，生成式AI學習數據的分佈	兩者都學習數據的分佈	兩者都學習數據的邊界	B	鑑別式AI學習區分不同類別的決策邊界，而生成式AI則學習數據本身的生成分佈。
No Code/Low Code的「限制」之一是？	缺乏社區支持	可能導致供應商鎖定（Vendor Lock-in）	學習資源稀缺	只能在特定作業系統上運行	B	使用特定No Code/Low Code平台可能導致對該平台的依賴，難以遷移到其他平台或自定義開發，形成供應商鎖定。
生成式AI工具的「適用場景」中，下列哪項是較不適合的？	撰寫行銷文案	智慧客服的自動回覆	財務報表分析與預測	遊戲角色對話生成	C	財務報表分析與預測需要高度的準確性和專業判斷，目前生成式AI在此領域的應用仍需謹慎，且通常需要結合傳統數據分析方法。
生成式AI風險管理中，下列哪項是關於「安全」的考量？	確保模型訓練數據的來源多樣性	防止模型被惡意攻擊或濫用，例如生成惡意內容或進行網路釣魚	提高模型的生成速度	降低模型的計算成本	B	生成式AI的安全風險包括模型被用於生成惡意內容、進行詐騙或網路釣魚等，需要採取措施加以防範。
下列哪項是「弱AI」（Weak AI）的定義？	能夠理解、學習並應用智慧於任何智力任務的AI系統	只能執行特定任務的AI系統	具備人類情感的AI	能夠自我意識的AI	B	弱AI（或狹義人工智慧ANI）指的是只能在特定領域或任務中表現出智慧的AI系統，如語音助理或圖像識別系統。
資料基本概念中，「資料多樣性」（Variety）是指？	資料的儲存格式多樣	資料來源的多樣性	資料類型（結構化、半結構化、非結構化）的多樣性	資料的處理速度快	C	資料多樣性是指大數據中包含多種不同格式和類型的數據，如文本、圖像、音頻、視頻、表格數據等。
